,38.29,38.29.1,38.29.2,38.29.3,38.29.4,38.29.5,38.66,38.66.1,38.66.2,38.66.3,1
0,39.03,38.66,39.03,39.03,39.03,39.03,39.03,39.03,39.03,39.03,1
1,39.41,39.41,39.41,39.41,39.41,39.41,39.78,39.41,39.78,39.78,1
2,39.78,39.78,39.78,39.78,40.15,40.15,40.15,40.15,40.15,40.15,1
3,40.52,40.52,40.52,40.52,40.52,40.52,40.52,40.52,40.52,40.52,1
4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,-1
5,3.35,3.35,3.35,3.72,3.35,3.35,3.35,3.35,3.35,3.35,-1
6,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,-1
13,3.72,3.35,3.35,3.72,3.35,3.35,3.35,3.35,3.35,3.35,-1
15,3.35,3.35,3.35,2.97,3.35,3.35,2.97,2.97,2.97,2.97,-1
16,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
17,2.97,2.97,2.97,2.97,2.6,2.6,2.6,2.6,2.6,2.6,-1
18,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-1
21,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.23,2.6,-1
22,2.6,2.23,2.23,2.23,2.23,2.6,2.6,2.23,2.6,2.23,-1
23,2.6,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,-1
24,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,-1
37,2.23,2.23,2.23,2.23,1.86,2.23,2.23,2.23,2.23,2.23,-1
38,2.23,2.23,2.23,2.23,2.23,2.23,1.86,2.23,2.23,2.23,-1
40,2.23,2.23,2.23,2.23,2.23,2.23,1.86,2.23,1.86,2.23,-1
41,2.23,1.86,1.86,1.86,1.86,1.86,2.23,1.86,1.86,2.23,-1
42,2.23,1.86,1.86,1.86,1.86,1.86,1.86,2.23,2.23,2.23,-1
43,2.23,2.23,1.86,2.23,2.23,2.23,2.23,2.23,2.23,1.86,-1
44,2.23,2.23,2.23,2.23,1.86,2.23,2.23,2.23,2.23,1.86,-1
45,1.86,1.86,2.23,1.86,2.23,2.23,2.23,2.23,2.23,2.23,-1
46,3.35,3.35,3.35,3.35,3.72,3.72,4.09,4.09,4.46,4.46,1
47,5.2,5.58,5.58,5.58,5.95,5.95,5.95,6.32,6.32,6.69,1
48,7.43,7.43,7.43,7.43,7.81,7.81,8.18,8.18,8.55,8.55,1
49,9.29,9.29,9.29,9.67,9.67,9.67,10.04,10.04,10.41,10.41,1
50,11.15,11.15,11.52,11.52,11.9,11.9,11.9,11.9,12.27,12.27,1
51,13.01,13.01,13.38,13.38,13.38,13.75,13.75,13.75,14.13,14.13,1
52,14.87,14.87,14.87,15.24,15.24,15.61,15.61,15.61,15.61,15.99,1
53,16.36,16.36,16.36,16.36,16.73,16.73,16.73,16.73,17.1,17.1,1
54,17.47,17.47,17.47,17.47,17.84,17.84,17.84,17.84,18.22,18.22,1
55,18.59,18.59,18.59,18.59,18.96,18.96,18.96,18.96,19.33,19.33,1
56,19.7,19.7,20.07,20.07,20.07,20.07,20.07,20.45,20.45,20.45,1
57,20.82,20.82,20.82,20.82,21.19,21.19,21.19,21.19,21.19,21.19,1
58,21.56,21.56,21.56,21.56,21.93,21.93,21.93,21.93,21.93,21.93,1
59,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.68,22.68,22.68,1
60,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.42,23.42,1
61,23.42,23.42,23.42,23.79,23.79,23.79,23.79,23.79,23.79,24.16,1
62,24.16,24.16,24.16,24.16,24.54,24.54,24.54,24.54,24.54,24.54,1
63,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91,25.28,25.28,1
64,25.65,25.28,25.28,25.65,25.65,25.65,25.65,25.65,25.65,26.02,1
65,26.02,26.02,26.02,26.02,26.39,26.39,26.39,26.39,26.77,26.39,1
66,26.77,26.77,26.77,27.14,27.14,27.14,27.14,27.14,27.51,27.51,1
67,27.88,27.88,27.88,27.88,28.25,27.88,28.25,28.25,28.25,28.25,1
68,28.62,28.62,28.62,28.62,29.0,29.0,29.0,29.0,29.0,29.37,1
69,29.74,29.74,29.74,29.74,29.74,29.74,29.74,30.11,30.11,30.11,1
70,30.48,30.48,30.48,30.48,30.86,30.86,30.86,30.86,30.86,30.86,1
71,31.23,31.23,31.23,31.23,31.6,31.6,31.6,31.6,31.6,31.97,1
72,31.97,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.71,32.71,1
